CODE_DEP,DÉPARTEMENT,CODE_COM,COMMUNE,Inscrits,Abstentions,Votants,Blancs_et_nuls,Exprimés,Voix_oui,Pourcent_oui,Voix_non,Pourcent_non
1,AIN,49,La Boisse,1 889,479,1 410,31,1 379,667,"48,37 %",712,"51,63 %"
1,AIN,50,Boissey,169,54,115,6,109,34,"31,19 %",75,"68,81 %"
1,AIN,51,Bolozon,80,22,58,1,57,10,"17,54 %",47,"82,46 %"
1,AIN,52,Bouligneux,224,54,170,6,164,77,"46,95 %",87,"53,05 %"
1,AIN,53,Bourg-en-Bresse,22 167,8 092,14 075,325,13 750,7 212,"52,45 %",6 538,"47,55 %"
1,AIN,54,Bourg-Saint-Christophe,669,146,523,14,509,210,"41,26 %",299,"58,74 %"
1,AIN,56,Boyeux-Saint-Jérôme,278,68,210,3,207,88,"42,51 %",119,"57,49 %"
1,AIN,57,Boz,294,79,215,2,213,57,"26,76 %",156,"73,24 %"
1,AIN,58,Brégnier-Cordon,514,129,385,15,370,176,"47,57 %",194,"52,43 %"
1,AIN,59,Brénaz,88,20,68,0,68,29,"42,65 %",39,"57,35 %"
1,AIN,60,Brénod,356,96,260,9,251,143,"56,97 %",108,"43,03 %"
1,AIN,61,Brens,622,171,451,18,433,210,"48,50 %",223,"51,50 %"
1,AIN,62,Bressolles,487,105,382,8,374,208,"55,61 %",166,"44,39 %"
1,AIN,63,Brion,401,112,289,7,282,118,"41,84 %",164,"58,16 %"
1,AIN,64,Briord,487,151,336,8,328,75,"22,87 %",253,"77,13 %"
1,AIN,65,Buellas,1 032,264,768,22,746,409,"54,83 %",337,"45,17 %"
1,AIN,66,La Burbanche,75,17,58,0,58,15,"25,86 %",43,"74,14 %"
1,AIN,67,Ceignes,184,54,130,4,126,61,"48,41 %",65,"51,59 %"
1,AIN,68,Cerdon,503,148,355,8,347,122,"35,16 %",225,"64,84 %"
1,AIN,69,Certines,986,308,678,21,657,255,"38,81 %",402,"61,19 %"
1,AIN,71,Cessy,1 512,420,1 092,21,1 071,632,"59,01 %",439,"40,99 %"
1,AIN,72,Ceyzériat,1 734,455,1 279,36,1 243,605,"48,67 %",638,"51,33 %"
1,AIN,73,Ceyzérieu,735,234,501,8,493,215,"43,61 %",278,"56,39 %"
1,AIN,74,Chalamont,1 191,433,758,20,738,301,"40,79 %",437,"59,21 %"
1,AIN,75,Chaleins,713,229,484,15,469,264,"56,29 %",205,"43,71 %"
1,AIN,76,Chaley,123,35,88,2,86,26,"30,23 %",60,"69,77 %"
1,AIN,77,Challes,146,40,106,4,102,50,"49,02 %",52,"50,98 %"
1,AIN,78,Challex,621,189,432,5,427,237,"55,50 %",190,"44,50 %"
1,AIN,79,Champagne-en-Valromey,525,175,350,12,338,150,"44,38 %",188,"55,62 %"
1,AIN,80,Champdor,318,69,249,6,243,94,"38,68 %",149,"61,32 %"
1,AIN,81,Champfromier,413,94,319,10,309,155,"50,16 %",154,"49,84 %"
1,AIN,82,Chanay,328,94,234,4,230,87,"37,83 %",143,"62,17 %"
1,AIN,83,Chaneins,508,155,353,11,342,165,"48,25 %",177,"51,75 %"
1,AIN,84,Chanoz-Châtenay,404,119,285,7,278,118,"42,45 %",160,"57,55 %"
1,AIN,85,La Chapelle-du-Châtelard,213,51,162,5,157,79,"50,32 %",78,"49,68 %"
1,AIN,87,Charix,227,59,168,6,162,76,"46,91 %",86,"53,09 %"
1,AIN,88,Charnoz-sur-Ain,545,126,419,9,410,148,"36,10 %",262,"63,90 %"
1,AIN,89,Château-Gaillard,1 018,269,749,17,732,295,"40,30 %",437,"59,70 %"
1,AIN,90,Châtenay,274,79,195,0,195,90,"46,15 %",105,"53,85 %"
1,AIN,91,Châtillon-en-Michaille,1 779,527,1 252,18,1 234,502,"40,68 %",732,"59,32 %"
1,AIN,92,Châtillon-la-Palud,957,285,672,18,654,246,"37,61 %",408,"62,39 %"
1,AIN,93,Châtillon-sur-Chalaronne,2 947,974,1 973,39,1 934,932,"48,19 %",1 002,"51,81 %"
1,AIN,94,Chavannes-sur-Reyssouze,490,167,323,10,313,126,"40,26 %",187,"59,74 %"
1,AIN,95,Chavannes-sur-Suran,389,80,309,8,301,129,"42,86 %",172,"57,14 %"
1,AIN,96,Chaveyriat,656,183,473,17,456,175,"38,38 %",281,"61,62 %"
1,AIN,97,Chavornay,159,53,106,1,105,49,"46,67 %",56,"53,33 %"
1,AIN,98,Chazey-Bons,502,145,357,7,350,164,"46,86 %",186,"53,14 %"
1,AIN,99,Chazey-sur-Ain,906,217,689,17,672,309,"45,98 %",363,"54,02 %"
1,AIN,100,Cheignieu-la-Balme,122,22,100,3,97,40,"41,24 %",57,"58,76 %"
1,AIN,101,Chevillard,143,40,103,2,101,40,"39,60 %",61,"60,40 %"
1,AIN,102,Chevroux,555,224,331,20,311,127,"40,84 %",184,"59,16 %"
1,AIN,103,Chevry,598,178,420,4,416,258,"62,02 %",158,"37,98 %"
1,AIN,104,Chézery-Forens,324,92,232,2,230,112,"48,70 %",118,"51,30 %"
1,AIN,105,Civrieux,879,239,640,20,620,343,"55,32 %",277,"44,68 %"
1,AIN,106,Cize,115,20,95,1,94,38,"40,43 %",56,"59,57 %"
1,AIN,107,Cleyzieu,108,18,90,0,90,30,"33,33 %",60,"66,67 %"
1,AIN,108,Coligny,862,254,608,20,588,238,"40,48 %",350,"59,52 %"
1,AIN,109,Collonges,720,262,458,7,451,217,"48,12 %",234,"51,88 %"
1,AIN,110,Colomieu,107,28,79,3,76,33,"43,42 %",43,"56,58 %"
1,AIN,111,Conand,86,17,69,2,67,20,"29,85 %",47,"70,15 %"
1,AIN,112,Condamine,215,51,164,5,159,67,"42,14 %",92,"57,86 %"
1,AIN,113,Condeissiat,525,167,358,8,350,180,"51,43 %",170,"48,57 %"
1,AIN,114,Confort,312,82,230,5,225,89,"39,56 %",136,"60,44 %"
1,AIN,115,Confrançon,699,236,463,13,450,172,"38,22 %",278,"61,78 %"
1,AIN,116,Contrevoz,391,98,293,6,287,119,"41,46 %",168,"58,54 %"
1,AIN,117,Conzieu,102,35,67,3,64,26,"40,63 %",38,"59,38 %"
1,AIN,118,Corbonod,599,144,455,5,450,169,"37,56 %",281,"62,44 %"
1,AIN,119,Corcelles,144,40,104,3,101,53,"52,48 %",48,"47,52 %"
1,AIN,121,Corlier,70,10,60,2,58,25,"43,10 %",33,"56,90 %"
1,AIN,122,Cormaranche-en-Bugey,597,115,482,14,468,217,"46,37 %",251,"53,63 %"
1,AIN,123,Cormoranche-sur-Saône,647,178,469,16,453,224,"49,45 %",229,"50,55 %"
1,AIN,124,Cormoz,406,135,271,6,265,78,"29,43 %",187,"70,57 %"
1,AIN,125,Corveissiat,411,111,300,13,287,110,"38,33 %",177,"61,67 %"
1,AIN,127,Courmangoux,326,93,233,6,227,118,"51,98 %",109,"48,02 %"
1,AIN,128,Courtes,172,61,111,4,107,56,"52,34 %",51,"47,66 %"
1,AIN,129,Crans,199,60,139,2,137,61,"44,53 %",76,"55,47 %"
1,AIN,130,Cras-sur-Reyssouze,755,255,500,18,482,219,"45,44 %",263,"54,56 %"
1,AIN,133,Cressin-Rochefort,256,59,197,8,189,73,"38,62 %",116,"61,38 %"
1,AIN,134,Crottet,994,266,728,23,705,303,"42,98 %",402,"57,02 %"
1,AIN,135,Crozet,872,307,565,7,558,314,"56,27 %",244,"43,73 %"
1,AIN,136,Cruzilles-lès-Mépillat,491,140,351,11,340,155,"45,59 %",185,"54,41 %"
1,AIN,138,Culoz,1 709,565,1 144,30,1 114,434,"38,96 %",680,"61,04 %"
1,AIN,139,Curciat-Dongalon,345,123,222,4,218,109,"50,00 %",109,"50,00 %"
1,AIN,140,Curtafond,471,121,350,15,335,137,"40,90 %",198,"59,10 %"
1,AIN,141,Cuzieu,287,78,209,3,206,93,"45,15 %",113,"54,85 %"
1,AIN,142,Dagneux,2 446,699,1 747,45,1 702,734,"43,13 %",968,"56,87 %"
1,AIN,143,Divonne-les-Bains,4 319,1 606,2 713,33,2 680,1 753,"65,41 %",927,"34,59 %"
1,AIN,144,Dommartin,538,176,362,11,351,139,"39,60 %",212,"60,40 %"
1,AIN,145,Dompierre-sur-Veyle,725,208,517,13,504,201,"39,88 %",303,"60,12 %"
1,AIN,146,Dompierre-sur-Chalaronne,221,46,175,6,169,74,"43,79 %",95,"56,21 %"
1,AIN,147,Domsure,330,93,237,7,230,89,"38,70 %",141,"61,30 %"
1,AIN,148,Dortan,1 349,403,946,15,931,344,"36,95 %",587,"63,05 %"
1,AIN,149,Douvres,654,126,528,11,517,196,"37,91 %",321,"62,09 %"
1,AIN,150,Drom,131,26,105,1,104,46,"44,23 %",58,"55,77 %"
1,AIN,151,Druillat,710,201,509,11,498,201,"40,36 %",297,"59,64 %"
1,AIN,152,Echallon,552,131,421,10,411,191,"46,47 %",220,"53,53 %"
1,AIN,153,Echenevex,723,214,509,8,501,320,"63,87 %",181,"36,13 %"
1,AIN,154,Etrez,463,118,345,15,330,126,"38,18 %",204,"61,82 %"
1,AIN,155,Evosges,121,21,100,2,98,45,"45,92 %",53,"54,08 %"
1,AIN,156,Faramans,471,111,360,9,351,117,"33,33 %",234,"66,67 %"
1,AIN,157,Fareins,1 327,365,962,29,933,469,"50,27 %",464,"49,73 %"
1,AIN,158,Farges,449,185,264,6,258,145,"56,20 %",113,"43,80 %"
1,AIN,159,Feillens,2 181,681,1 500,43,1 457,791,"54,29 %",666,"45,71 %"
1,AIN,160,Ferney-Voltaire,3 310,1 125,2 185,40,2 145,1 360,"63,40 %",785,"36,60 %"
1,AIN,162,Flaxieu,65,9,56,0,56,43,"76,79 %",13,"23,21 %"
1,AIN,163,Foissiat,1 266,433,833,40,793,398,"50,19 %",395,"49,81 %"
1,AIN,165,Francheleins,727,199,528,7,521,232,"44,53 %",289,"55,47 %"
1,AIN,166,Frans,1 267,323,944,35,909,465,"51,16 %",444,"48,84 %"
1,AIN,167,Garnerans,487,155,332,14,318,151,"47,48 %",167,"52,52 %"
1,AIN,169,Genouilleux,304,101,203,8,195,96,"49,23 %",99,"50,77 %"
1,AIN,170,Géovreissiat,530,151,379,18,361,130,"36,01 %",231,"63,99 %"
1,AIN,171,Géovreisset,496,145,351,8,343,176,"51,31 %",167,"48,69 %"
1,AIN,172,Germagnat,121,35,86,1,85,41,"48,24 %",44,"51,76 %"
1,AIN,173,Gex,4 029,1 497,2 532,50,2 482,1 404,"56,57 %",1 078,"43,43 %"
1,AIN,174,Giron,103,14,89,2,87,50,"57,47 %",37,"42,53 %"
1,AIN,175,Gorrevod,467,135,332,18,314,132,"42,04 %",182,"57,96 %"
1,AIN,176,Le Grand-Abergement,96,17,79,4,75,28,"37,33 %",47,"62,67 %"
1,AIN,177,Grand-Corent,126,28,98,2,96,53,"55,21 %",43,"44,79 %"
1,AIN,179,Grièges,1 171,313,858,21,837,401,"47,91 %",436,"52,09 %"
1,AIN,180,Grilly,436,137,299,13,286,191,"66,78 %",95,"33,22 %"
1,AIN,181,Groissiat,668,173,495,14,481,220,"45,74 %",261,"54,26 %"
1,AIN,182,Groslée,275,80,195,2,193,94,"48,70 %",99,"51,30 %"
1,AIN,183,Guéreins,747,237,510,22,488,212,"43,44 %",276,"56,56 %"
1,AIN,184,Hautecourt-Romanèche,558,134,424,13,411,173,"42,09 %",238,"57,91 %"
1,AIN,185,Hauteville-Lompnes,2 194,678,1 516,35,1 481,630,"42,54 %",851,"57,46 %"
1,AIN,186,Hostiaz,73,26,47,2,45,20,"44,44 %",25,"55,56 %"
1,AIN,187,Hotonnes,248,59,189,5,184,99,"53,80 %",85,"46,20 %"
1,AIN,188,Illiat,361,102,259,6,253,125,"49,41 %",128,"50,59 %"
1,AIN,189,Injoux-Génissiat,653,182,471,5,466,116,"24,89 %",350,"75,11 %"
1,AIN,190,Innimond,132,30,102,0,102,55,"53,92 %",47,"46,08 %"
1,AIN,191,Izenave,125,25,100,3,97,42,"43,30 %",55,"56,70 %"
1,AIN,192,Izernore,1 171,359,812,25,787,339,"43,07 %",448,"56,93 %"
1,AIN,193,Izieu,181,39,142,6,136,67,"49,26 %",69,"50,74 %"
1,AIN,194,Jassans-Riottier,3 339,1 098,2 241,43,2 198,1 036,"47,13 %",1 162,"52,87 %"
1,AIN,195,Jasseron,932,219,713,17,696,359,"51,58 %",337,"48,42 %"
1,AIN,196,Jayat,674,252,422,15,407,195,"47,91 %",212,"52,09 %"
1,AIN,197,Journans,239,52,187,2,185,88,"47,57 %",97,"52,43 %"
1,AIN,198,Joyeux,187,47,140,5,135,83,"61,48 %",52,"38,52 %"
1,AIN,199,Jujurieux,1 231,356,875,24,851,332,"39,01 %",519,"60,99 %"
1,AIN,200,Labalme,89,29,60,1,59,18,"30,51 %",41,"69,49 %"
1,AIN,202,Lagnieu,4 088,1 190,2 898,73,2 825,1 098,"38,87 %",1 727,"61,13 %"
1,AIN,203,Laiz,727,248,479,13,466,177,"37,98 %",289,"62,02 %"
1,AIN,204,Lalleyriat,169,44,125,3,122,70,"57,38 %",52,"42,62 %"
1,AIN,205,Lancrans,654,215,439,8,431,184,"42,69 %",247,"57,31 %"
1,AIN,206,Lantenay,223,49,174,9,165,69,"41,82 %",96,"58,18 %"
1,AIN,207,Lapeyrouse,174,29,145,5,140,50,"35,71 %",90,"64,29 %"
1,AIN,208,Lavours,120,16,104,2,102,38,"37,25 %",64,"62,75 %"
1,AIN,209,Léaz,358,90,268,11,257,108,"42,02 %",149,"57,98 %"
1,AIN,210,Lélex,198,62,136,3,133,92,"69,17 %",41,"30,83 %"
1,AIN,211,Lent,825,233,592,21,571,311,"54,47 %",260,"45,53 %"
1,AIN,212,Lescheroux,478,190,288,6,282,105,"37,23 %",177,"62,77 %"
1,AIN,213,Leyment,696,189,507,16,491,145,"29,53 %",346,"70,47 %"
1,AIN,214,Leyssard,125,22,103,0,103,33,"32,04 %",70,"67,96 %"
1,AIN,215,Lhôpital,45,5,40,4,36,12,"33,33 %",24,"66,67 %"
1,AIN,216,Lhuis,551,140,411,15,396,172,"43,43 %",224,"56,57 %"
1,AIN,218,Lochieu,67,13,54,3,51,17,"33,33 %",34,"66,67 %"
1,AIN,219,Lompnas,139,43,96,1,95,48,"50,53 %",47,"49,47 %"
1,AIN,221,Lompnieu,120,35,85,2,83,38,"45,78 %",45,"54,22 %"
1,AIN,224,Loyettes,1 359,392,967,28,939,359,"38,23 %",580,"61,77 %"
1,AIN,225,Lurcy,242,65,177,5,172,94,"54,65 %",78,"45,35 %"
1,AIN,227,Magnieu,289,67,222,4,218,104,"47,71 %",114,"52,29 %"
1,AIN,228,Maillat,414,114,300,7,293,129,"44,03 %",164,"55,97 %"
1,AIN,229,Malafretaz,558,174,384,16,368,165,"44,84 %",203,"55,16 %"
1,AIN,230,Mantenay-Montlin,232,71,161,4,157,65,"41,40 %",92,"58,60 %"
1,AIN,231,Manziat,1 288,371,917,32,885,466,"52,66 %",419,"47,34 %"
1,AIN,232,Marboz,1 616,527,1 089,34,1 055,504,"47,77 %",551,"52,23 %"
1,AIN,233,Marchamp,118,27,91,1,90,48,"53,33 %",42,"46,67 %"
1,AIN,234,Marignieu,118,16,102,2,100,42,"42,00 %",58,"58,00 %"
1,AIN,235,Marlieux,521,149,372,10,362,184,"50,83 %",178,"49,17 %"
1,AIN,236,Marsonnas,581,200,381,13,368,171,"46,47 %",197,"53,53 %"
1,AIN,237,Martignat,884,252,632,17,615,280,"45,53 %",335,"54,47 %"
1,AIN,238,Massieux,1 537,396,1 141,30,1 111,577,"51,94 %",534,"48,06 %"
1,AIN,239,Massignieu-de-Rives,408,98,310,6,304,128,"42,11 %",176,"57,89 %"
1,AIN,240,Matafelon-Granges,393,121,272,4,268,104,"38,81 %",164,"61,19 %"
1,AIN,241,Meillonnas,993,240,753,26,727,412,"56,67 %",315,"43,33 %"
1,AIN,242,Mérignat,86,8,78,3,75,46,"61,33 %",29,"38,67 %"
1,AIN,243,Messimy-sur-Saône,752,212,540,12,528,252,"47,73 %",276,"52,27 %"
1,AIN,244,Meximieux,4 165,1 321,2 844,78,2 766,1 208,"43,67 %",1 558,"56,33 %"
1,AIN,245,Bohas-Meyriat-Rignat,614,135,479,12,467,221,"47,32 %",246,"52,68 %"
1,AIN,246,Mézériat,1 190,448,742,22,720,338,"46,94 %",382,"53,06 %"
1,AIN,247,Mijoux,229,68,161,7,154,93,"60,39 %",61,"39,61 %"
1,AIN,248,Mionnay,1 252,248,1 004,20,984,512,"52,03 %",472,"47,97 %"
1,AIN,249,Miribel,5 676,1 841,3 835,96,3 739,1 832,"49,00 %",1 907,"51,00 %"
1,AIN,250,Misérieux,1 006,213,793,16,777,395,"50,84 %",382,"49,16 %"
1,AIN,252,Mogneneins,454,150,304,9,295,140,"47,46 %",155,"52,54 %"
1,AIN,254,Montagnat,1 136,320,816,15,801,428,"53,43 %",373,"46,57 %"
1,AIN,255,Montagnieu,346,87,259,4,255,124,"48,63 %",131,"51,37 %"
1,AIN,257,Montanges,260,54,206,6,200,71,"35,50 %",129,"64,50 %"
1,AIN,258,Montceaux,647,164,483,14,469,206,"43,92 %",263,"56,08 %"
1,AIN,259,Montcet,361,100,261,5,256,111,"43,36 %",145,"56,64 %"
1,AIN,260,Le Montellier,169,45,124,4,120,78,"65,00 %",42,"35,00 %"
1,AIN,261,Monthieux,374,98,276,4,272,148,"54,41 %",124,"45,59 %"
1,AIN,262,Montluel,3 443,1 125,2 318,60,2 258,984,"43,58 %",1 274,"56,42 %"
1,AIN,263,Montmerle-sur-Saône,2 301,701,1 600,41,1 559,800,"51,31 %",759,"48,69 %"
1,AIN,264,Montracol,518,154,364,10,354,171,"48,31 %",183,"51,69 %"
1,AIN,265,Montréal-la-Cluse,1 852,639,1 213,22,1 191,492,"41,31 %",699,"58,69 %"
1,AIN,266,Montrevel-en-Bresse,1 624,501,1 123,39,1 084,521,"48,06 %",563,"51,94 %"
1,AIN,267,Nurieux-Volognat,650,197,453,17,436,186,"42,66 %",250,"57,34 %"
1,AIN,268,Murs-et-Gélignieux,176,46,130,7,123,46,"37,40 %",77,"62,60 %"
1,AIN,269,Nantua,1 584,563,1 021,21,1 000,460,"46,00 %",540,"54,00 %"
1,AIN,271,Nattages,378,91,287,7,280,112,"40,00 %",168,"60,00 %"
1,AIN,272,Neuville-les-Dames,977,268,709,25,684,336,"49,12 %",348,"50,88 %"
1,AIN,273,Neuville-sur-Ain,944,304,640,12,628,249,"39,65 %",379,"60,35 %"
1,AIN,274,Les Neyrolles,362,91,271,7,264,95,"35,98 %",169,"64,02 %"
1,AIN,275,Neyron,1 407,322,1 085,20,1 065,659,"61,88 %",406,"38,12 %"
1,AIN,276,Niévroz,870,235,635,16,619,234,"37,80 %",385,"62,20 %"
1,AIN,277,Nivollet-Montgriffon,100,32,68,1,67,25,"37,31 %",42,"62,69 %"
1,AIN,279,Oncieu,83,10,73,2,71,21,"29,58 %",50,"70,42 %"
1,AIN,280,Ordonnaz,135,19,116,0,116,77,"66,38 %",39,"33,62 %"
1,AIN,281,Ornex,1 328,421,907,20,887,600,"67,64 %",287,"32,36 %"
1,AIN,282,Outriaz,182,47,135,2,133,60,"45,11 %",73,"54,89 %"
1,AIN,283,Oyonnax,11 267,4 662,6 605,151,6 454,2 888,"44,75 %",3 566,"55,25 %"
1,AIN,284,Ozan,317,79,238,8,230,91,"39,57 %",139,"60,43 %"
1,AIN,285,Parcieux,632,151,481,9,472,291,"61,65 %",181,"38,35 %"
1,AIN,286,Parves,282,64,218,4,214,61,"28,50 %",153,"71,50 %"
1,AIN,288,Péron,955,290,665,11,654,335,"51,22 %",319,"48,78 %"
1,AIN,289,Péronnas,3 983,1 237,2 746,71,2 675,1 391,"52,00 %",1 284,"48,00 %"
1,AIN,290,Pérouges,888,253,635,14,621,316,"50,89 %",305,"49,11 %"
1,AIN,291,Perrex,571,175,396,15,381,193,"50,66 %",188,"49,34 %"
1,AIN,292,Le Petit-Abergement,134,26,108,1,107,49,"45,79 %",58,"54,21 %"
1,AIN,293,Peyriat,146,17,129,6,123,66,"53,66 %",57,"46,34 %"
1,AIN,294,Peyrieu,529,135,394,13,381,145,"38,06 %",236,"61,94 %"
1,AIN,295,Peyzieux-sur-Saône,217,66,151,5,146,65,"44,52 %",81,"55,48 %"
1,AIN,296,Pirajoux,273,73,200,5,195,74,"37,95 %",121,"62,05 %"
1,AIN,297,Pizay,456,110,346,7,339,173,"51,03 %",166,"48,97 %"
1,AIN,298,Plagne,78,14,64,3,61,18,"29,51 %",43,"70,49 %"
1,AIN,299,Le Plantay,290,58,232,2,230,122,"53,04 %",108,"46,96 %"
1,AIN,300,Le Poizat,282,83,199,9,190,87,"45,79 %",103,"54,21 %"
1,AIN,301,Polliat,1 594,471,1 123,29,1 094,558,"51,01 %",536,"48,99 %"
1,AIN,302,Pollieu,105,19,86,3,83,31,"37,35 %",52,"62,65 %"
1,AIN,303,Poncin,987,301,686,13,673,313,"46,51 %",360,"53,49 %"
1,AIN,304,Pont-d'Ain,1 526,503,1 023,34,989,417,"42,16 %",572,"57,84 %"
1,AIN,305,Pont-de-Vaux,1 378,526,852,23,829,413,"49,82 %",416,"50,18 %"
1,AIN,306,Pont-de-Veyle,825,263,562,15,547,213,"38,94 %",334,"61,06 %"
1,AIN,307,Port,543,153,390,20,370,171,"46,22 %",199,"53,78 %"
1,AIN,308,Pougny,398,160,238,5,233,109,"46,78 %",124,"53,22 %"
1,AIN,309,Pouillat,53,11,42,1,41,8,"19,51 %",33,"80,49 %"
1,AIN,310,Prémeyzel,100,28,72,2,70,29,"41,43 %",41,"58,57 %"
1,AIN,311,Prémillieu,67,18,49,0,49,23,"46,94 %",26,"53,06 %"
1,AIN,312,Pressiat,147,39,108,4,104,49,"47,12 %",55,"52,88 %"
1,AIN,313,Prévessin-Moëns,2 165,632,1 533,32,1 501,1 080,"71,95 %",421,"28,05 %"
1,AIN,314,Priay,865,220,645,14,631,258,"40,89 %",373,"59,11 %"
1,AIN,316,Pugieu,118,20,98,3,95,26,"27,37 %",69,"72,63 %"
1,AIN,317,Ramasse,195,48,147,6,141,53,"37,59 %",88,"62,41 %"
1,AIN,318,Rancé,434,92,342,11,331,151,"45,62 %",180,"54,38 %"
1,AIN,319,Relevant,313,100,213,7,206,101,"49,03 %",105,"50,97 %"
1,AIN,320,Replonges,2 311,685,1 626,48,1 578,774,"49,05 %",804,"50,95 %"
1,AIN,321,Revonnas,435,105,330,6,324,188,"58,02 %",136,"41,98 %"
1,AIN,322,Reyrieux,2 536,696,1 840,37,1 803,1 012,"56,13 %",791,"43,87 %"
1,AIN,323,Reyssouze,575,184,391,13,378,129,"34,13 %",249,"65,87 %"
1,AIN,325,Rignieux-le-Franc,613,127,486,14,472,203,"43,01 %",269,"56,99 %"
1,AIN,328,Romans,327,78,249,11,238,105,"44,12 %",133,"55,88 %"
1,AIN,329,Rossillon,143,43,100,1,99,37,"37,37 %",62,"62,63 %"
1,AIN,330,Ruffieu,161,38,123,3,120,67,"55,83 %",53,"44,17 %"
1,AIN,331,Saint-Alban,125,40,85,5,80,30,"37,50 %",50,"62,50 %"
1,AIN,332,Saint-André-de-Bâgé,410,114,296,12,284,109,"38,38 %",175,"61,62 %"
1,AIN,333,Saint-André-de-Corcy,2 057,551,1 506,28,1 478,615,"41,61 %",863,"58,39 %"
1,AIN,334,Saint-André-d'Huiriat,325,115,210,10,200,79,"39,50 %",121,"60,50 %"
1,AIN,335,Saint-André-le-Bouchoux,188,33,155,4,151,71,"47,02 %",80,"52,98 %"
